key,description,project,location_col,location_index,location,qty
BD042,In-/Output board IO-EXB101 GS01,ABS,K,4,Sanganer,8
BD042,In-/Output board IO-EXB101 GS01,ABS,L,5,ALH-2,20
BD042,In-/Output board IO-EXB101 GS01,ABS,M,6,ALH-3,20
BD042,In-/Output board IO-EXB101 GS01,ABS,N,7,ALH-4,16
BD042,In-/Output board IO-EXB101 GS01,ABS,O,8,Sheodaspura,2
BD042,In-/Output board IO-EXB101 GS01,Yard,H,1,Chaksu,13
BD042,In-/Output board IO-EXB101 GS01,Yard,I,2,Channani,13
BD042,In-/Output board IO-EXB101 GS01,Yard,J,3,Banasthali,16
BD042,In-/Output board IO-EXB101 GS01,Yard,K,4,Sirsa,13
BD042,In-/Output board IO-EXB101 GS01,Yard,L,5,Irsada,16
BD042,In-/Output board IO-EXB101 GS01,Yard,M,6,Chauth,13
BD042,In-/Output board IO-EXB101 GS01,Yard,N,7,Devpura Acc-1,8
BD042,In-/Output board IO-EXB101 GS01,Yard,O,8,Devpura Acc-2,12
BD042,In-/Output board IO-EXB101 GS01,Yard,P,9,Snaganer Acc-1,8
BD042,In-/Output board IO-EXB101 GS01,Yard,Q,10,Devpura Acc-2,11
BD042,In-/Output board IO-EXB101 GS01,Yard,R,11,Sheodaspura,13
BD042,In-/Output board IO-EXB101 GS01,Yard,S,12,Durgapur Acc-1,8
BD042,In-/Output board IO-EXB101 GS01,Yard,T,13,Durgapur Acc-2,12
BD043,Backplane connector BP-EXB crimp version,ABS,H,1,Jaipur JN,2
BD043,Backplane connector BP-EXB crimp version,ABS,I,2,ALH-1,12
BD043,Backplane connector BP-EXB crimp version,ABS,J,3,Durgapura,8
BD043,Backplane connector BP-EXB crimp version,ABS,K,4,Sanganer,8
BD043,Backplane connector BP-EXB crimp version,ABS,L,5,ALH-2,20
BD043,Backplane connector BP-EXB crimp version,ABS,M,6,ALH-3,20
BD043,Backplane connector BP-EXB crimp version,ABS,N,7,ALH-4,16
BD043,Backplane connector BP-EXB crimp version,ABS,O,8,Sheodaspura,2
BD043,Backplane connector BP-EXB crimp version,Yard,H,1,Chaksu,13
BD043,Backplane connector BP-EXB crimp version,Yard,I,2,Channani,13
BD043,Backplane connector BP-EXB crimp version,Yard,J,3,Banasthali,16
BD043,Backplane connector BP-EXB crimp version,Yard,K,4,Sirsa,13
BD043,Backplane connector BP-EXB crimp version,Yard,L,5,Irsada,16
BD043,Backplane connector BP-EXB crimp version,Yard,M,6,Chauth,13
BD043,Backplane connector BP-EXB crimp version,Yard,N,7,Devpura Acc-1,8
BD043,Backplane connector BP-EXB crimp version,Yard,O,8,Devpura Acc-2,12
BD043,Backplane connector BP-EXB crimp version,Yard,P,9,Snaganer Acc-1,8
BD043,Backplane connector BP-EXB crimp version,Yard,Q,10,Devpura Acc-2,11
BD043,Backplane connector BP-EXB crimp version,Yard,R,11,Sheodaspura,13
BD043,Backplane connector BP-EXB crimp version,Yard,S,12,Durgapur Acc-1,8
BD043,Backplane connector BP-EXB crimp version,Yard,T,13,Durgapur Acc-2,12
